,mol,geom,dlpno,b3lyp-svp,b3lyp-tz,b97-3c,mp2,pbe-svp,pbe,pbeh-3c,wb97x,gfn,gfn2,pm7
63,astex_1l7f,rmsd215-opt,29033.132999999998,503.168,2081.0370000000003,201.975,3016.5559999999996,274.718,529.378,649.1030000000001,3516.0840000000003,3.0,1.68,0.062
64,astex_1l7f,rmsd246-opt,28800.72,495.952,2033.4289999999999,206.042,3210.328,268.72900000000004,526.249,638.32,3649.724,2.23,1.06,0.066
65,astex_1l7f,rmsd76-opt,30605.063,509.246,2072.07,214.357,3216.9159999999997,275.54,536.776,664.4,3720.605,2.32,1.05,0.062
66,astex_1lpz,rmsd111-opt,55830.17,779.15,3800.468,293.595,5808.443,350.292,821.421,1217.1860000000001,6283.834,6.53,1.79,0.098
67,astex_1lpz,rmsd112-opt,56115.935,777.61,3746.9429999999998,294.88599999999997,5137.641,341.594,823.4839999999999,1212.485,6267.159000000001,4.38,1.5,0.098
68,astex_1lpz,rmsd119-opt,58049.573,778.541,3660.978,294.809,5225.396,350.535,824.763,1244.6989999999998,6256.695,5.48,1.5,0.094
69,astex_1lpz,rmsd11-opt,59288.255999999994,775.237,3668.51,295.439,5595.528,347.977,822.9630000000001,1213.563,6253.145,3.08,2.88,0.102
70,astex_1mmv,rmsd113-opt,6644.785,186.99599999999998,778.806,69.183,1140.155,107.557,235.44,175.051,1234.004,3.4,0.89,0.039
71,astex_1mmv,rmsd137-opt,7433.253000000001,189.84,797.909,67.84100000000001,1013.433,110.435,255.695,182.15200000000002,1250.785,1.43,1.99,0.039
72,astex_1mmv,rmsd138-opt,7579.32,193.69299999999998,812.382,70.003,949.808,113.35700000000001,227.183,187.137,1286.355,0.74,0.67,0.031
73,astex_1mmv,rmsd146-opt,6498.6269999999995,176.47,741.057,62.093999999999994,919.8860000000001,103.3,212.662,160.601,1148.892,5.07,1.76,0.031
74,astex_1mmv,rmsd15-opt,7115.927,189.666,802.663,68.425,1136.858,110.772,226.773,183.231,1262.0910000000001,3.17,0.72,0.031
75,astex_1mmv,rmsd172-opt,7502.186,193.446,810.648,69.946,1106.997,110.654,229.863,186.28400000000002,1284.381,0.81,0.74,0.035
76,astex_1mmv,rmsd22-opt,7414.531,192.33599999999998,806.055,69.50399999999999,1100.482,111.96799999999999,228.704,184.642,1223.44,2.26,0.66,0.035
77,astex_1mmv,rmsd44-opt,7388.223000000001,195.19400000000002,810.0,69.795,1110.894,113.315,267.605,184.408,1226.338,1.5,0.77,0.031
78,astex_1mmv,rmsd50-opt,7173.541,190.512,777.784,68.69,1137.442,112.15,225.143,179.196,1204.138,4.49,0.72,0.031
79,astex_1mmv,rmsd91-opt,7008.056,191.235,765.385,67.547,1122.484,108.889,221.329,173.143,1234.0839999999998,4.12,1.03,0.035
80,astex_1n1m,rmsd20-opt,8195.255,152.52100000000002,616.0840000000001,52.424,813.943,89.428,156.72899999999998,147.683,967.4760000000001,1.33,0.72,0.027000000000000003
81,astex_1n1m,rmsd29-opt,7811.735,153.822,618.091,52.751000000000005,808.2769999999999,89.65100000000001,157.53,147.85299999999998,971.3580000000001,3.0,0.61,0.027000000000000003
82,astex_1n1m,rmsd34-opt,7849.346,152.954,615.634,52.522,807.785,89.831,157.418,148.556,970.4860000000001,1.37,0.86,0.027000000000000003
83,astex_1n1m,rmsd37-opt,7746.4980000000005,149.32399999999998,617.826,52.413000000000004,809.189,89.361,156.93,147.72899999999998,969.666,4.67,0.63,0.023
84,astex_1n1m,rmsd38-opt,7355.755999999999,145.34799999999998,615.572,52.456,810.421,89.477,157.095,147.75799999999998,970.145,0.7,0.67,0.027000000000000003
85,astex_1n1m,rmsd39-opt,7558.784000000001,145.259,615.659,52.419,810.47,89.068,157.089,147.88299999999998,971.1339999999999,1.21,2.6,0.023
86,astex_1n1m,rmsd40-opt,7574.328,151.032,614.5740000000001,52.458,808.705,89.303,157.339,146.17600000000002,913.378,1.12,0.64,0.023
87,astex_1n1m,rmsd42-opt,7745.244000000001,152.571,612.884,52.446999999999996,808.367,87.99,157.115,143.888,922.36,2.41,0.68,0.027000000000000003
88,astex_1n1m,rmsd5-opt,7862.014,153.628,615.494,52.645,809.148,89.359,157.227,144.895,971.913,0.72,0.67,0.027000000000000003
89,astex_1of6,rmsd100-opt,7079.335,122.34100000000001,511.912,44.26,634.404,81.843,128.609,122.141,797.9739999999999,1.15,0.7,0.023
90,astex_1of6,rmsd102-opt,7364.428000000001,110.221,514.189,44.297,629.133,77.462,129.405,122.46600000000001,796.158,1.85,0.57,0.023
91,astex_1of6,rmsd103-opt,7249.431,109.689,512.629,44.169,627.745,77.12,129.28,122.29,796.796,5.16,0.75,0.023
92,astex_1of6,rmsd104-opt,7169.996999999999,110.579,512.15,44.381,626.09,77.204,129.244,122.26899999999999,796.485,2.26,1.78,0.023
93,astex_1of6,rmsd105-opt,7181.879,110.571,509.73800000000006,44.138000000000005,624.401,71.794,129.279,122.05799999999999,796.057,2.48,0.49,0.023
94,astex_1of6,rmsd106-opt,7040.475,109.91,513.893,44.298,625.798,77.175,129.39600000000002,121.741,794.437,0.99,0.69,0.023
95,astex_1of6,rmsd107-opt,6903.545,110.12,512.41,44.233999999999995,624.614,77.143,129.24200000000002,122.259,793.428,0.97,0.61,0.023
96,astex_1of6,rmsd135-opt,7313.746999999999,110.58,511.9,44.126999999999995,625.055,77.12899999999999,129.466,121.759,794.692,0.68,0.73,0.023
97,astex_1of6,rmsd142-opt,7049.347,110.10700000000001,512.649,44.163000000000004,626.789,77.125,129.346,122.01299999999999,795.712,0.62,0.63,0.023
98,astex_1of6,rmsd143-opt,7285.804,109.586,510.856,44.105,627.638,77.097,129.378,121.69,795.5269999999999,3.38,0.52,0.023
99,astex_1oq5,rmsd1-opt,28248.156000000003,373.801,1921.504,141.024,2473.0029999999997,195.549,415.32599999999996,533.0840000000001,2968.6620000000003,2.9,1.92,0.059000000000000004
100,astex_1oq5,rmsd2-opt,26364.263,359.08099999999996,1906.7910000000002,133.179,2472.697,171.67,396.842,526.675,2951.4959999999996,2.19,1.22,0.059000000000000004
101,astex_1oq5,rmsd3-opt,27377.641,362.80699999999996,1911.874,155.889,2474.485,180.623,415.915,535.48,2943.421,2.24,1.66,0.062
102,astex_1oq5,rmsd4-opt,25224.284,362.29,1911.047,151.10299999999998,2482.966,192.865,417.31800000000004,530.879,2934.9570000000003,1.37,1.15,0.059000000000000004
103,astex_1oq5,rmsd5-opt,27999.306,362.519,1911.984,155.523,2475.368,181.84,415.147,527.712,2941.782,5.18,2.12,0.062
104,astex_1oq5,rmsd6-opt,27833.237999999998,355.19,1724.933,132.499,2470.646,171.27900000000002,391.208,516.305,2905.828,3.75,2.37,0.055
105,astex_1oq5,rmsd7-opt,27947.69,362.94699999999995,1917.307,162.116,2487.644,182.638,444.906,547.751,2947.401,6.36,2.39,0.062
106,astex_1oq5,rmsd8-opt,26767.879,363.964,1920.797,151.759,2268.5170000000003,195.075,444.934,552.7869999999999,2969.68,1.29,2.32,0.059000000000000004
107,astex_1owe,rmsd103-opt,19733.832,298.4,1454.3629999999998,105.45,1822.9660000000001,138.619,291.39599999999996,340.89099999999996,2206.85,1.93,0.89,0.043
108,astex_1owe,rmsd122-opt,20014.728,286.823,1436.402,105.65899999999999,1818.705,138.373,290.74,340.221,2198.8179999999998,1.28,0.88,0.043
109,astex_1owe,rmsd129-opt,19269.624,287.176,1433.6,104.93,1818.894,138.078,291.389,340.167,2187.158,1.06,2.54,0.043
110,astex_1owe,rmsd130-opt,19157.065,285.805,1445.276,105.38799999999999,1822.775,138.97299999999998,292.44,340.454,2190.215,3.08,0.89,0.043
111,astex_1owe,rmsd131-opt,18359.721,287.885,1433.879,116.72,1881.7979999999998,138.214,289.73,340.95599999999996,2190.161,3.33,1.4,0.043
112,astex_1owe,rmsd137-opt,19717.168,286.509,1321.5420000000001,104.913,1871.736,137.904,291.81,339.756,2192.335,5.48,2.64,0.043
113,astex_1owe,rmsd146-opt,21023.773999999998,287.54,1430.339,105.131,1821.128,138.379,292.541,339.11800000000005,2190.011,2.9,1.07,0.043
114,astex_1owe,rmsd148-opt,20584.178,286.431,1437.293,116.49700000000001,1809.233,138.882,290.402,338.968,2198.734,2.79,0.89,0.039
115,astex_1owe,rmsd149-opt,20275.093,286.33799999999997,1440.639,105.23200000000001,1824.914,138.366,291.346,339.082,2185.328,3.47,0.98,0.043
116,astex_1owe,rmsd153-opt,19796.496,286.957,1444.257,112.889,1873.0279999999998,137.873,290.918,341.217,2207.058,2.08,1.88,0.039
117,astex_1oyt,rmsd111-opt,43456.934,717.132,3520.0029999999997,265.02299999999997,5319.3009999999995,259.513,755.191,1071.4160000000002,5724.276999999999,3.39,3.23,0.066
118,astex_1oyt,rmsd124-opt,41284.626000000004,702.763,3508.724,265.88599999999997,5450.223000000001,273.823,757.1080000000001,1061.839,5681.871,5.18,1.66,0.066
119,astex_1oyt,rmsd125-opt,43080.2,699.408,3497.8959999999997,265.623,5014.03,255.261,757.2080000000001,1060.134,5674.533,1.99,1.34,0.066
120,astex_1oyt,rmsd207-opt,43632.054000000004,698.672,3478.028,282.61400000000003,4920.544,252.676,755.079,1050.36,5636.691,4.26,1.43,0.059000000000000004
121,astex_1oyt,rmsd214-opt,42202.627,700.804,3340.1479999999997,266.03700000000003,5097.039000000001,274.914,758.5,1057.812,5690.806,4.19,1.22,0.066
