CHG_jobs/astex_1of6/rmsd103-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1of6/rmsd104-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1of6/rmsd105-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1of6/rmsd106-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1of6/rmsd107-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1of6/rmsd135-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1of6/rmsd142-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1of6/rmsd143-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1oq5/rmsd1-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1oq5/rmsd2-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1oq5/rmsd3-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1oq5/rmsd4-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1oq5/rmsd5-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1oq5/rmsd6-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1oq5/rmsd7-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1oq5/rmsd8-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1owe/rmsd103-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1owe/rmsd122-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1owe/rmsd129-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1owe/rmsd130-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1owe/rmsd131-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1owe/rmsd137-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1owe/rmsd146-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.017 sec
CHG_jobs/astex_1owe/rmsd148-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1owe/rmsd149-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1owe/rmsd153-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1oyt/rmsd111-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1oyt/rmsd124-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1oyt/rmsd125-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1oyt/rmsd207-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1oyt/rmsd214-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1oyt/rmsd31-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1oyt/rmsd35-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1oyt/rmsd42-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1oyt/rmsd43-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1oyt/rmsd97-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1p2y/rmsd1-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1p2y/rmsd11-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1p2y/rmsd12-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1p2y/rmsd3-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1p2y/rmsd4-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1p2y/rmsd5-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1p2y/rmsd6-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1p2y/rmsd7-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1p2y/rmsd8-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1p2y/rmsd9-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
